store_id,date,sales,traffic,staffing_hours,promo
Store_1,2023-01-01,37372.93152152541,339,33.43169325055332,0
Store_1,2023-01-02,37057.41509641093,305,29.33824373195297,0
Store_1,2023-01-03,36923.85623537951,282,24.750164334973935,0
Store_1,2023-01-04,36255.18967196188,306,29.19331239658519,0
Store_1,2023-01-05,37425.46129485493,315,30.411234550949636,0
Store_1,2023-01-06,37793.719910523316,305,29.299492299788177,0
Store_1,2023-01-07,36631.14453552205,273,27.273005550524132,0
Store_1,2023-01-08,37826.81986214116,287,34.25662608310488,0
Store_1,2023-01-09,39269.448152205354,325,37.26870343522352,1
Store_1,2023-01-10,36824.704366976446,294,26.706643805277306,0
Store_1,2023-01-11,37610.838144420435,302,28.84615599938808,0
Store_1,2023-01-12,37038.26130250752,311,30.685668219790852,0
Store_1,2023-01-13,37082.17051166809,276,26.64165152430942,0
Store_1,2023-01-14,37393.28069216449,290,30.669590838460856,0
Store_1,2023-01-15,38059.01828323298,299,30.622791211016825,0
Store_1,2023-01-16,37339.567956262625,315,30.7027232199696,0
Store_1,2023-01-17,36176.21554269955,275,27.683521553071003,0
Store_1,2023-01-18,37801.85564188562,327,31.12148334260416,0
Store_1,2023-01-19,37304.37555482984,269,28.730804235404147,0
Store_1,2023-01-20,37467.776646977414,317,34.443724267099554,0
Store_1,2023-01-21,36693.24252593394,326,31.815783693735685,0
Store_1,2023-01-22,37557.758971944386,318,26.48964790487306,0
Store_1,2023-01-23,37422.02542840727,285,28.17742857666798,0
Store_1,2023-01-24,36463.247689004886,301,30.06289839097672,0
Store_1,2023-01-25,38476.62105624264,290,29.120460419882054,0
Store_1,2023-01-26,38894.25088983006,262,30.0505815847732,1
Store_1,2023-01-27,36770.30627260263,286,30.182063894086095,0
Store_1,2023-01-28,37298.44747429228,293,27.53871836294046,0
Store_1,2023-01-29,37138.2621729419,319,32.09930273017528,0
Store_1,2023-01-30,36728.563231662345,309,32.19817346525821,0
Store_1,2023-01-31,37038.96924189716,281,26.533493415327527,0
Store_1,2023-02-01,37713.22408066735,331,35.187721221837315,0
Store_1,2023-02-02,37700.91143588866,303,30.819765588496846,0
Store_1,2023-02-03,37863.53539849006,292,30.43528169102229,0
Store_1,2023-02-04,36792.82429098681,271,27.686144946597363,0
Store_1,2023-02-05,36827.751369019286,302,31.66900212976009,0
Store_1,2023-02-06,37431.39046346825,286,30.526752258488646,0
Store_1,2023-02-07,36949.10962525337,308,28.060257886567406,0
Store_1,2023-02-08,37996.767038578655,295,29.526003783755815,0
Store_1,2023-02-09,37803.59000040653,304,28.473968747867744,0
Store_1,2023-02-10,39223.585543671565,293,35.24647524914709,1
Store_1,2023-02-11,36983.51734118219,289,27.047906761577043,0
Store_1,2023-02-12,37386.862552972765,303,28.532285127597735,0
Store_1,2023-02-13,37718.09927204887,278,29.544894315320906,0
Store_1,2023-02-14,37601.8929754561,310,32.03007053441732,0
Store_1,2023-02-15,37408.65318637031,322,35.07471265666706,0
Store_1,2023-02-16,37714.48461024663,308,30.16946151071931,0
Store_1,2023-02-17,36997.66862907497,294,29.32072771592076,0
Store_1,2023-02-18,37849.47529848368,302,29.256136268421134,0
Store_1,2023-02-19,36544.56409656198,277,28.799152690125332,0
Store_1,2023-02-20,37466.959511159,271,31.387888178650652,0
Store_1,2023-02-21,36465.43382045473,301,29.211002511561635,0
Store_1,2023-02-22,39577.87759708506,270,33.009974557960916,1
Store_1,2023-02-23,36463.886346412735,295,30.135534064874236,0
Store_1,2023-02-24,37866.232630275576,311,35.344312394025266,0
Store_1,2023-02-25,38211.00284023615,296,29.125216077586664,0
Store_1,2023-02-26,36536.10840901757,273,26.79486369721368,0
Store_1,2023-02-27,37037.16761437272,295,29.243175706920585,0
Store_1,2023-02-28,37556.05173713164,306,28.6369826979041,0
Store_1,2023-03-01,37198.04741391201,268,28.09432539357409,0
Store_1,2023-03-02,36338.95610023875,304,34.666066749312535,0
Store_1,2023-03-03,39578.79913064286,336,37.62713446789528,1
Store_1,2023-03-04,37674.80104851051,291,27.921270486111577,0
